trade,total_m,total_f,black_m,black_f,hispanic_m,hispanic_f,asian_m,asian_f,native_m,native_f,min_goal,min_actual,fem_goal,fem_actual,total_emp_m,total_emp_f,total_min_m,total_min_f
Supervisor,189,0,0,0,0,0,0,0,10,0,3.8,5.31,6.9,0,4,0,1,0
Foreman,316,0,0,0,0,0,0,0,27,0,3.8,3.8,6.9,0,8,0,2,0
Clerical,0,11,0,0,0,0,0,0,0,0,3.8,0,6.9,100,0,1,0,0
Mechanic,61,0,0,0,0,0,0,0,0,0,3.8,0,6.9,0,1,0,0,0
Truck Driver,200,0,0,0,0,0,0,0,0,0,3.8,0,6.9,0,6,0,0,0
Iron Workers,6110,24,392,0,0,0,0,0,678,24,3.8,20.01,6.9,0.39,70,1,14,1
Carpenters,25025,192,724,0,0,0,0,0,0,0,3.8,2.87,6.9,0.76,25,1,1,0
Electricians,5479,0,0,0,0,0,0,0,0,0,3.8,0,6.9,0,22,0,0,0
Laborers Unskilled,631,0,18,0,0,0,0,0,0,0,3.8,2.78,6.9,0,9,0,1,0
Laborers Semiskilled,78764,7361,10488,0,3598,0,0,0,32,2087,3.8,18.82,6.9,8.55,109,4,25,1
Other,27,0,0,0,0,0,0,0,0,0,3.8,0,6.9,0,1,0,0,0
Surveyors,2585,0,0,0,0,0,0,0,0,0,3.8,0,6.9,0,3,0,0,0
Asbestos Workers,226,0,0,0,0,0,0,0,0,0,3.8,0,6.9,0,4,0,0,0
Cement Masons,3778,0,0,0,437,0,0,0,0,0,3.8,11.57,6.9,0,23,0,1,0
Equipment Operator,35392,4424,11,0,0,0,0,0,2651,0,3.8,6.69,6.9,11.11,92,2,4,0
Piledriver,2345,0,87,0,0,0,0,0,0,0,3.8,3.69,6.9,0,19,0,1,0
Welders & Citters,242,0,89,0,0,0,0,0,0,0,3.8,36.78,6.9,0,4,0,1,0
