project,name,ending,zip,ssn,class,hours,rate,gross,net,sex,race,dup,ot,add,pdf_no,pdf_pg,pg_ob
I-690,A&K Slipforming,,,,,17.5,,515.75,,Male,Black,0,,0,1,,
I-690,A&K Slipforming,,,,,69.5,,2281.74,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,73.0,,2794.67,,Male ,White,0,,0,1,,
I-690,A&K Slipforming,,,,,72.5,,2390.77,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,76.5,,3986.91,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,73.0,,2794.67,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,76.5,,3490.41,,Male ,White,0,,0,1,,
I-690,A&K Slipforming,,,,,17.5,,594.78,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,73.0,,2794.67,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,10.0,,529.98,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,10.0,,353.65,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,75.0,,2507.59,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,72.5,,2767.63,,Male ,White,0,,0,1,,
I-690,A&K Slipforming,,,,,25.0,,720.64,,Male,White,0,,0,1,,
I-690,A&K Slipforming,,,,,17.5,,915.20,,Male ,White ,0,,0,1,,
I-690,BVR Construction,,,,,77.0,,2751.63,,Male,Native,0,,0,1,,
I-690,BVR Construction,,,,,25.5,,410.63,,Male,Native,0,,0,1,,
I-690,BVR Construction,,,,,32.5,,1033.13,,Male,Native,0,,0,1,,
I-690,BVR Construction,,,,,80.5,,3094.39,,Male,Black,0,,0,1,,
I-690,BVR Construction,,,,,10.0,,362.50,,Male,White,0,,0,1,,
I-690,BVR Construction,,,,,69.5,,2287.38,,Male,White,0,,0,1,,
I-690,BVR Construction,,,,,143.5,,4636.63,,Male,White,0,,0,1,,
I-690,BVR Construction,,,,,18.0,,594.50,,Male ,White,0,,0,1,,
I-690,BVR Construction,,,,,10.0,,362.50,,Male,White,0,,0,1,,
I-690,BVR Construction,,,,,9.0,,297.25,,Male,White,0,,0,1,,
I-690,BVR Construction,,,,,104.0,,2184.00,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,11.0,,337.00,,Male,Native,0,,0,1,,
I-690,CFR Paving,,,,,21.0,,633.56,,Male,Native,0,,0,1,,
I-690,CFR Paving,,,,,11.0,,476.13,,Male,Black,0,,0,1,,
I-690,CFR Paving,,,,,47.5,,1665.63,,Male,Hispanic,0,,0,1,,
I-690,CFR Paving,,,,,36.3,,1054.67,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,164.0,,5294.00,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,114.5,,5792.21,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,97.0,,4640.98,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,8.5,,246.40,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,44.0,,2192.00,,Male ,White,0,,0,1,,
I-690,CFR Paving,,,,,220.0,,7258.43,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,234.5,,10888.91,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,39.5,,986.80,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,198.5,,9212.65,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,141.5,,4599.69,,Male,White,0,,0,1,,
I-690,CFR Paving,,,,,237.0,,11195.01,,Male,White,0,,0,1,,
