race,count,total,percent,project
Black,51059.88,862996.03,0.05916583416959635,Hancock
Hispanic,2320,862996.03,0.002688309006473645,Hancock
Multiracial,10897.14,862996.03,0.01262710327879492,Hancock
Native,16097.1,862996.03,0.018652577115563323,Hancock
White,782621.91,862996.03,0.9068661764295718,Hancock
Asian,12056.95,3231500.34,0.003731068770365657,Lakeview
Black,144579,3231500.34,0.04474051826960353,Lakeview
Hispanic,86484.57,3231500.34,0.02676297722438117,Lakeview
Native,197391.11,3231500.34,0.061083425415947815,Lakeview
White,2790988.71,3231500.34,0.8636820103197018,Lakeview
Black,122966.32,4812334.38,0.025552322488446865,Expo Center
Hispanic,156259.31,4812334.38,0.03247058447339231,Expo Center
Native,186536.69,4812334.38,0.038762204633003915,Expo Center
White,4346572.06,4812334.38,0.9032148884051568,Expo Center
Black,363136.55,6193196.37,0.05863475470583213,I-690
Hispanic,128438.48,6193196.37,0.02073864162004603,I-690
Native,210700.35,6193196.37,0.03402126097932851,I-690
White,5490920.99,6193196.37,0.8866053426947933,I-690
