race,count,total,percent,project
Black,1941,35574.6,0.0545614005498305,Hancock
Hispanic,80,35574.6,0.002248795488916249,Hancock
Multiracial,490,35574.6,0.013773872369612028,Hancock
Native,639,35574.6,0.01796225396771854,Hancock
White,24837.5,35574.6,0.6981807244494668,Hancock
NA,7587.1,35574.6,0.21327295317445596,Hancock
Asian,413,127421.15000000001,0.003241220158505868,Lakeview
Black,7008.8,127421.15000000001,0.055004997208077305,Lakeview
Hispanic,2561.7,127421.15000000001,0.020104197772504797,Lakeview
Native,6702,127421.15000000001,0.05259723366175866,Lakeview
White,94426.3,127421.15000000001,0.7410567240995706,Lakeview
NA,16309.35,127421.15000000001,0.12799562709958276,Lakeview
Asian,959.5,159399.55,0.006019464923207124,Expo Center
Black,6124.65,159399.55,0.03842325778209537,Expo Center
Hispanic,5622.31,159399.55,0.03527180597435815,Expo Center
Native,6206.25,159399.55,0.03893517892616385,Expo Center
White,140486.84,159399.55,0.8813502923941755,Expo Center
Black,11809,161381,0.07317466120547028,I-690
Hispanic,4035,161381,0.0250029433452513,I-690
Native,5509,161381,0.03413660839875822,I-690
White,140028,161381,0.8676857870505202,I-690
