race,count,total,percent,project
Black,10,204,0.049019607843137254,Hancock
Hispanic,1,204,0.004901960784313725,Hancock
Multiracial,3,204,0.014705882352941176,Hancock
Native,4,204,0.0196078431372549,Hancock
White,121,204,0.5931372549019608,Hancock
NA,65,204,0.31862745098039214,Hancock
Asian,2,571,0.0035026269702276708,Lakeview
Black,21,571,0.03677758318739054,Lakeview
Hispanic,8,571,0.014010507880910683,Lakeview
Native,21,571,0.03677758318739054,Lakeview
White,401,571,0.702276707530648,Lakeview
NA,118,571,0.20665499124343256,Lakeview
Asian,8,344,0.023255813953488372,Expo Center
Black,46,344,0.13372093023255813,Expo Center
Hispanic,21,344,0.061046511627906974,Expo Center
Native,30,344,0.0872093023255814,Expo Center
White,239,344,0.6947674418604651,Expo Center
Black,21,400,0.0525,I-690
Hispanic,10,400,0.025,I-690
Native,21,400,0.0525,I-690
White,348,400,0.87,I-690
