project,name,ssn,sex,race,hours,gross
I-690,A&K Slipforming,1,Male,Black,17.5,515.75
I-690,A&K Slipforming,2,Male,White,69.5,2281.74
I-690,A&K Slipforming,3,Male,White,73,2794.67
I-690,A&K Slipforming,4,Male,White,72.5,2390.77
I-690,A&K Slipforming,5,Male,White,76.5,3986.91
I-690,A&K Slipforming,6,Male,White,73,2794.67
I-690,A&K Slipforming,7,Male,White,76.5,3490.41
I-690,A&K Slipforming,8,Male,White,17.5,594.78
I-690,A&K Slipforming,9,Male,White,73,2794.67
I-690,A&K Slipforming,10,Male,White,10,529.98
I-690,A&K Slipforming,11,Male,White,10,353.65
I-690,A&K Slipforming,12,Male,White,75,2507.59
I-690,A&K Slipforming,13,Male,White,72.5,2767.63
I-690,A&K Slipforming,14,Male,White,25,720.64
I-690,A&K Slipforming,15,Male,White,17.5,915.2
I-690,BVR Construction,16,Male,Native,77,2751.63
I-690,BVR Construction,17,Male,Native,25.5,410.63
I-690,BVR Construction,18,Male,Native,32.5,1033.13
I-690,BVR Construction,19,Male,Black,80.5,3094.39
I-690,BVR Construction,20,Male,White,10,362.5
I-690,BVR Construction,21,Male,White,69.5,2287.38
I-690,BVR Construction,22,Male,White,143.5,4636.63
I-690,BVR Construction,23,Male,White,18,594.5
I-690,BVR Construction,24,Male,White,10,362.5
I-690,BVR Construction,25,Male,White,9,297.25
I-690,BVR Construction,26,Male,White,104,2184
I-690,CFR Paving,27,Male,Native,11,337
I-690,CFR Paving,28,Male,Native,21,633.56
I-690,CFR Paving,29,Male,Black,11,476.13
I-690,CFR Paving,30,Male,Hispanic,47.5,1665.63
I-690,CFR Paving,31,Male,White,36.3,1054.67
I-690,CFR Paving,32,Male,White,164,5294
I-690,CFR Paving,33,Male,White,114.5,5792.21
I-690,CFR Paving,34,Male,White,97,4640.98
I-690,CFR Paving,35,Male,White,8.5,246.4
I-690,CFR Paving,36,Male,White,44,2192
I-690,CFR Paving,37,Male,White,220,7258.43
I-690,CFR Paving,38,Male,White,234.5,10888.91
I-690,CFR Paving,39,Male,White,39.5,986.8
I-690,CFR Paving,40,Male,White,198.5,9212.65
I-690,CFR Paving,41,Male,White,141.5,4599.69
I-690,CFR Paving,42,Male,White,237,11195.01
I-690,CFR Paving,43,Male,White,212,7088.27
I-690,CFR Paving,44,Male,White,216,10368.33
I-690,Concrete Cutting & Breaking,45,Male,White,26.8,726.81
I-690,Concrete Cutting & Breaking,46,Male,White,38.5,1806.71
I-690,Concrete Cutting & Breaking,47,Male,White,81.5,2661.75
I-690,Crane-Hogan,48,Female,Native,2087,66811.03
I-690,Crane-Hogan,49,Male,Native,24,1005.76
I-690,Crane-Hogan,50,Male,Native,2627,116222.63
I-690,Crane-Hogan,51,Male,Black,367.5,10906.76
I-690,Crane-Hogan,52,Male,Black,723.5,12597.88
I-690,Crane-Hogan,53,Male,Black,477,14569.04
I-690,Crane-Hogan,54,Male,Black,940,28840.99
I-690,Crane-Hogan,55,Male,Black,1639,60017.67
I-690,Crane-Hogan,56,Male,Black,1211,38045.62
I-690,Crane-Hogan,57,Male,Black,1424.5,43277.89
I-690,Crane-Hogan,58,Male,Black,1236.5,38307.06
I-690,Crane-Hogan,59,Male,Black,18.5,567.01
I-690,Crane-Hogan,60,Male,Black,235.5,7758.86
I-690,Crane-Hogan,61,Male,Black,34,941.84
I-690,Crane-Hogan,62,Male,Black,2673.5,82562.19
I-690,Crane-Hogan,63,Male,Hispanic,437,13679.93
I-690,Crane-Hogan,64,Male,Hispanic,1061,32253.55
I-690,Crane-Hogan,65,Male,Hispanic,1532,48911.53
I-690,Crane-Hogan,66,Male,Hispanic,225.5,6512.28
I-690,Crane-Hogan,67,Male,Hispanic,271,8055.98
I-690,Crane-Hogan,68,Male,Hispanic,28,861.41
I-690,Crane-Hogan,69,Male,White,181.5,8548.52
I-690,Crane-Hogan,70,Female,White,1341,41117.51
I-690,Crane-Hogan,71,Male,White,551,23756.58
I-690,Crane-Hogan,72,Male,White,59,1887.27
I-690,Crane-Hogan,73,Male,White,3876,137590.63
I-690,Crane-Hogan,74,Male,White,80.5,2720.31
I-690,Crane-Hogan,75,Male,White,99.5,3286.8
I-690,Crane-Hogan,76,Female,White,2186.5,99452.73
I-690,Crane-Hogan,77,Male,White,2758.5,84169.66
I-690,Crane-Hogan,78,Male,White,2626,80785.16
I-690,Crane-Hogan,79,Male,White,1098,17876.13
I-690,Crane-Hogan,80,Male,White,1651,45293.2
I-690,Crane-Hogan,81,Male,White,1926.5,69053.06
I-690,Crane-Hogan,82,Male,White,2210.5,100514.35
I-690,Crane-Hogan,83,Female,White,191.5,4251.89
I-690,Crane-Hogan,84,Male,White,178,5550.96
I-690,Crane-Hogan,85,Male,White,2,56.68
I-690,Crane-Hogan,86,Male,White,105.5,3362.31
I-690,Crane-Hogan,87,Male,White,265,8771.34
I-690,Crane-Hogan,88,Male,White,3361,114124.93
I-690,Crane-Hogan,89,Male,White,359.5,11789.82
I-690,Crane-Hogan,90,Male,White,924,29584.33
I-690,Crane-Hogan,91,Male,White,2034,65057.55
I-690,Crane-Hogan,92,Male,White,8,246.16
I-690,Crane-Hogan,93,Male,White,1589.5,70737.4
I-690,Crane-Hogan,94,Male,White,1522,48948.94
I-690,Crane-Hogan,95,Male,White,17.5,570.35
I-690,Crane-Hogan,96,Male,White,214.5,9140.84
I-690,Crane-Hogan,97,Male,White,131.5,4287.03
I-690,Crane-Hogan,98,Female,White,1706,53571.86
I-690,Crane-Hogan,99,Male,White,3061.5,140147.65
I-690,Crane-Hogan,100,Male,White,992,29006.85
I-690,Crane-Hogan,101,Male,White,2691.5,87243.7
I-690,Crane-Hogan,102,Male,White,10,343.49
I-690,Crane-Hogan,103,Male,White,211,6895.35
I-690,Crane-Hogan,104,Male,White,1028,31271.11
I-690,Crane-Hogan,105,Male,White,104,3330.24
I-690,Crane-Hogan,106,Male,White,2034,64169.13
I-690,Crane-Hogan,107,Male,White,2765,97654.57
I-690,Crane-Hogan,108,Female,White,2226.5,57700.22
I-690,Crane-Hogan,109,Male,White,2443.5,85398.4
I-690,Crane-Hogan,110,Male,White,1426.5,62459.24
I-690,Crane-Hogan,111,Male,White,1765.5,52630.07
I-690,Crane-Hogan,112,Male,White,1602.5,49871.09
I-690,Crane-Hogan,113,Male,White,61.5,2007.9
I-690,Crane-Hogan,114,Male,White,18,592.97
I-690,Crane-Hogan,115,Male,White,2574.5,82880.88
I-690,Crane-Hogan,116,Male,White,1070,34765.01
I-690,Crane-Hogan,117,Male,White,1544.5,47593.39
I-690,Crane-Hogan,118,Male,White,457,14776.36
I-690,Crane-Hogan,119,Male,White,153.5,6629.37
I-690,Crane-Hogan,120,Male,White,3062,103026.25
I-690,Crane-Hogan,121,Male,White,1215.5,55408.37
I-690,Crane-Hogan,122,Male,White,2041.5,66272.36
I-690,Crane-Hogan,123,Male,White,209,9517.78
I-690,Crane-Hogan,124,Male,White,8,246.16
I-690,Crane-Hogan,125,Male,White,485,15716.88
I-690,Crane-Hogan,126,Male,White,1438.5,43561
I-690,Crane-Hogan,127,Male,White,86,3694.62
I-690,Crane-Hogan,128,Male,White,1398,44937.21
I-690,Crane-Hogan,129,Male,White,1741.5,80206.66
I-690,Crane-Hogan,130,Male,White,372,12004.88
I-690,Crane-Hogan,131,Male,White,8,246.16
I-690,Crane-Hogan,132,Male,White,1611.5,52081.55
I-690,Crane-Hogan,133,Male,White,142,4721.04
I-690,Crane-Hogan,134,Male,White,241.5,11368.77
I-690,Crane-Hogan,135,Male,White,190.5,5695.3
I-690,Crane-Hogan,136,Male,White,3031,92273.01
I-690,Crane-Hogan,137,Male,White,1293.5,58825.16
I-690,Crane-Hogan,138,Male,White,235,7861.86
I-690,Crane-Hogan,139,Male,White,1908.5,85658.85
I-690,Crane-Hogan,140,Male,White,612,18345.81
I-690,Crane-Hogan,141,Male,White,3303,108787.82
I-690,Crane-Hogan,142,Male,White,98,3252.8
I-690,Crane-Hogan,143,Male,White,290.5,12908.99
I-690,Crane-Hogan,144,Male,White,1346,43310.35
I-690,Crane-Hogan,145,Male,White,979,43877.38
I-690,Crane-Hogan,146,Male,White,61,1816.78
I-690,Crane-Hogan,147,Male,White,292.5,13419.7
I-690,Crane-Hogan,148,Male,White,735,23374.38
I-690,Crane-Hogan,149,Male,White,2701,83443.01
I-690,Crane-Hogan,150,Male,White,2861,90142.68
I-690,Crane-Hogan,151,Male,White,49,1526.31
I-690,Crane-Hogan,152,Male,White,809,25062.22
I-690,Crane-Hogan,153,Male,White,1566,68763.81
I-690,Crane-Hogan,154,Male,White,1512.5,47413.99
I-690,Crane-Hogan,155,Male,White,108.5,5141.36
I-690,Crane-Hogan,156,Male,White,522,16775.49
I-690,Crane-Hogan,157,Male,White,160,2881.11
I-690,Crane-Hogan,158,Male,White,1238.5,36408.62
I-690,Crane-Hogan,159,Male,White,143,4681.41
I-690,Crane-Hogan,160,Male,White,750.5,25663.48
I-690,Crane-Hogan,161,Male,White,243.5,11368.19
I-690,Crane-Hogan,162,Male,White,9.5,320.24
I-690,Crane-Hogan,163,Male,White,1072,32949.11
I-690,Crane-Hogan,164,Male,White,856.5,38412.3
I-690,Crane-Hogan,165,Male,White,1555.5,50414.47
I-690,Crane-Hogan,166,Male,White,612.5,28123.18
I-690,Crane-Hogan,167,Male,White,2216.5,103758.89
I-690,Crane-Hogan,168,Male,White,369,12407.67
I-690,Crane-Hogan,169,Male,White,1585.5,57783.93
I-690,Crane-Hogan,170,Male,White,2656.5,125679.2
I-690,Crane-Hogan,171,Male,White,178.5,5643.45
I-690,Crane-Hogan,172,Male,White,110,5165
I-690,Crane-Hogan,173,Male,White,3119,100839.39
I-690,Crane-Hogan,174,Female,White,2237.5,96932.31
I-690,Crane-Hogan,175,Male,White,144,4917.29
I-690,Crane-Hogan,176,Male,White,1504,49626.64
I-690,Crane-Hogan,177,Male,White,333.5,10114.43
I-690,Crane-Hogan,178,Male,White,791.5,26010.54
I-690,Crane-Hogan,179,Male,White,1778.5,80222.43
I-690,Dardrill,180,Male,White,26.5,1233.21
I-690,Dardrill,181,Male,White,26.5,1501.83
I-690,Dardrill,182,Male,White,26.5,926.57
I-690,DGI-Menard,183,Male,White,248.5,10400.66
I-690,DGI-Menard,184,Male,White,264.5,12333.28
I-690,DGI-Menard,185,Male,White,17,261.45
I-690,DGI-Menard,186,Male,White,208.5,8381.49
I-690,DGI-Menard,187,Male,White,86,3751.72
I-690,DGI-Menard,188,Male,White,52.5,2234.85
I-690,DGI-Menard,189,Male,White,302,10955.7
I-690,DGI-Menard,190,Male,White,422.5,17065.08
I-690,DGI-Menard,191,Male,White,227.5,8118.08
I-690,DGI-Menard,192,Male,White,419,15040.51
I-690,DGI-Menard,193,Male,White,61,3094.68
I-690,DGI-Menard,194,Male,White,738.5,30388.33
I-690,DGI-Menard,195,Male,White,358.5,12879.15
I-690,DGI-Menard,196,Male,White,665,29847
I-690,DGI-Menard,197,Male,White,314,14011.92
I-690,DGI-Menard,198,Male,White,252,10332.48
I-690,DGI-Menard,199,Male,White,249.5,10457.35
I-690,Donegal Construction,200,Male,White,27,1120.16
I-690,Donegal Construction,201,Male,White,16,638.16
I-690,Donegal Construction,202,Male,White,8,293.12
I-690,Donegal Construction,203,Male,White,9,370.22
I-690,Donegal Construction,204,Male,White,17.5,711.32
I-690,Donegal Construction,205,Male,White,9.5,399.44
I-690,Donegal Construction,206,Male,White,17,609.18
I-690,Eastwood Industries,207,Male,White,56.5,1658.04
I-690,Eastwood Industries,208,Male,White,56.5,2419.21
I-690,Eastwood Industries,209,Male,White,58,1698.48
I-690,Eastwood Industries,210,Male,White,56.5,1998.75
I-690,Elderlee,211,Male,Native,17,589.75
I-690,Elderlee,212,Male,Native,4,174
I-690,Elderlee,213,Male,Native,8,232
I-690,Elderlee,214,Male,Native,9.5,480.23
I-690,Elderlee,215,Male,Black,6,248.94
I-690,Elderlee,216,Male,Hispanic,20,696.5
I-690,Elderlee,217,Male,White,9,388.26
I-690,Elderlee,218,Male,White,15,519.11
I-690,Elderlee,219,Male,White,21,876.2
I-690,Elderlee,220,Male,White,5.5,329.34
I-690,Elderlee,221,Male,White,8,269.6
I-690,Elderlee,222,Male,White,8,319.36
I-690,Elderlee,223,Male,White,19.5,661.68
I-690,Elderlee,224,Male,White,7.5,379.13
I-690,Elderlee,225,Male,White,8.5,369.75
I-690,Elderlee,226,Male,White,20,490.98
I-690,Elderlee,227,Male,White,19,842.72
I-690,Elderlee,228,Male,White,15.5,538.56
I-690,Elderlee,229,Male,White,7,290.43
I-690,Elderlee,230,Male,White,3,84.18
I-690,Elderlee,231,Male,White,8.5,352.67
I-690,Elderlee,232,Male,White,21,964.68
I-690,Elderlee,233,Male,White,15,727.12
I-690,Elderlee,234,Male,White,7.5,315.68
I-690,Elderlee,235,Male,White,6.5,182.39
I-690,Elderlee,236,Male,White,6,248.94
I-690,Elderlee,237,Male,White,7.5,315.68
I-690,Elderlee,238,Male,White,6.5,186.94
I-690,Hayward Baker,239,Male,White,34.5,1456.44
I-690,Hayward Baker,240,Male,White,34.5,1586.82
I-690,Hayward Baker,241,Male,White,60,2418.24
I-690,Hayward Baker,242,Male,White,58,2407.2
I-690,Hayward Baker,243,Male,White,42,1575.52
