name,race,workers,com_prc,perc
Quality Structures,White,76,0.8837209302325582,0.5467625899280576
Quality Structures,Black,6,0.06976744186046512,0.04316546762589928
Quality Structures,Multiracial,3,0.03488372093023256,0.02158273381294964
Quality Structures,Indigenous,1,0.011627906976744186,0.007194244604316547
Schalk and Son,White,21,0.875,0.1510791366906475
Schalk and Son,Black,3,0.125,0.02158273381294964
Patricia Electric,White,9,1,0.06474820143884892
Stone Bridge,White,9,0.6923076923076923,0.06474820143884892
Stone Bridge,Indigenous,3,0.23076923076923078,0.02158273381294964
Stone Bridge,Hispanic,1,0.07692307692307693,0.007194244604316547
Longhouse,White,6,0.8571428571428571,0.04316546762589928
Longhouse,Black,1,0.14285714285714285,0.007194244604316547
