trade,tot_j,jwm,jwf,jmm,jmf,tot_a,awm,awf,amm,amf,allow_1,allow_2
Supervisors,133,123,0,10,0,0,0,0,0,0,,
Foremen,316,289,0,27,0,0,0,0,0,0,,
Mechanics,81,81,0,0,0,0,0,0,0,0,,
Truckdrivers,200,200,0,0,0,0,0,0,0,0,,
Ironworkers,5123,4029,0,1070,24,1011,876,0,135,0,1:1,1:4
Carpenters,21588,21588,0,0,0,3629,2713,192,724,0,1:1,1:4
Electrician,5050,5050,0,0,0,46,46,0,0,0,1:1,1:2
Laborer Unskilled,631,613,0,18,0,0,0,0,0,0,1:1,1:3
Laborer Semi-skilled,83856,64604,3047,14118,2087,2227,0,2227,0,0,1:1,1:3
Surveyors,2585,2585,0,0,0,0,0,0,0,0,,
Asbestos Workers,226,226,0,0,0,0,0,0,0,0,1:1,1:3
Cement Masons,3618,3181,0,437,0,160,160,0,0,0,1:1,1:4
Equipment Operator,39702,32710,4424,2568,0,114,20,0,94,0,1:1,1:5
Piledriver,2195,2195,0,0,0,150,63,0,87,0,1:1,1:4
Welders and Cutters,242,153,0,89,0,0,0,0,0,0,1:1,1:3
