trade,tot_j,jwm,jwf,jmm,jmf,tot_a,awm,awf,amm,amf,allow_1,allow_2
Supervisor,3,2,0,1,0,0,0,0,0,0,,
Foremen/women,8,6,0,2,0,0,0,0,0,0,,
Mechanic,1,1,0,0,0,0,0,0,0,0,,
Truckdriver,6,6,0,0,0,0,0,0,0,0,,
Ironworker,53,42,0,10,1,18,14,0,4,0,1:1,1:4
Carpenters,22,22,0,0,0,4,2,1,1,0,1:1,1:4
Electricians,12,12,0,0,0,6,6,0,0,0,1:1,1:2
Laborers Unskilled,9,8,0,1,0,0,0,0,0,0,1:1,1:3
Laborers semi-skilled,111,83,2,25,1,1,0,1,0,0,1:1,1:3
Surveyors,3,3,0,0,0,0,0,0,0,0,,
Asbestos workers,4,4,0,0,0,0,0,0,0,0,1:1,1:3
Cement Masons,22,21,0,1,0,1,1,0,0,0,1:1,1:4
Equipment Operator,92,87,2,3,0,2,1,0,1,0,1:1,1:2
PileDriver,16,16,0,0,0,3,2,0,1,0,1:1,1:4
Welders and Cutters,4,3,0,1,0,0,0,0,0,0,1:1,1:3
