county,state,workers,records,gross,hours,wrk_prc,rec_prc,grs_prc,hrs_prc
Onondaga,NY,219,1319,1535882.35,48895.7,0.42524271844660194,0.4376244193762442,0.4118527532499991,0.4241128950766051
Oswego,NY,89,522,616822.75,19200.7,0.17281553398058253,0.17319177173191772,0.16540339034089158,0.16654357058999814
Oneida,NY,27,150,224100.22,6175,0.05242718446601942,0.0497677504976775,0.06009333502070032,0.05356088832142779
Cortland,NY,16,140,206758.54,6260,0.031067961165048542,0.046449900464499004,0.055443096899284026,0.054298163707228814
Cayuga,NY,22,152,184740.88,5750.6,0.04271844660194175,0.050431320504313204,0.04953897677502948,0.04987971568926359
Madison,NY,21,145,152339.58000000002,4866.2,0.040776699029126215,0.048108825481088253,0.04085044368922431,0.04220858214570557
Erie,NY,7,43,101909.26,2510,0.013592233009708738,0.014266755142667552,0.027327359620136268,0.02177130845130101
Tioga,NY,13,57,82018.94,2448,0.02524271844660194,0.01891174518911745,0.02199369389045097,0.02123353111106967
Steuben,NY,4,40,65263.399999999994,1944,0.007766990291262136,0.013271400132714002,0.017500631462075197,0.016861921764672973
Schuyler,NY,7,48,59387.719999999994,1770,0.013592233009708738,0.015925680159256803,0.015925045294804013,0.015352675680797925
Wayne,NY,6,33,45343.159999999996,1598.5,0.011650485436893204,0.010948905109489052,0.01215894256943263,0.013865114167093493
Tompkins,NY,10,50,42001.47,1358.5,0.019417475728155338,0.0165892501658925,0.01126285555664289,0.011783395430714112
Seneca,NY,8,32,41600,1317.75,0.015533980582524271,0.010617120106171201,0.011155199833633066,0.011429936936933031
Monroe,NY,14,33,29231.38,949,0.027184466019417475,0.010948905109489052,0.00783850685848233,0.008231462836766797
Chemung,NY,5,24,25816.87,966,0.009708737864077669,0.007962840079628402,0.006922892882906886,0.008378917913927003
Niagara,NY,1,10,23917.22,616.5,0.001941747572815534,0.0033178500331785005,0.006413494436657823,0.005347415004074531
Cattaraugus,NY,1,12,22627.64,611.5,0.001941747572815534,0.003981420039814201,0.006067688604892041,0.005304045863733294
Jefferson,NY,3,18,21204.25,644.5,0.005825242718446602,0.005972130059721301,0.005686001107507547,0.005590282189985459
Livingston,NY,2,11,19021.38,472,0.003883495145631068,0.0036496350364963502,0.005100656130083445,0.00409404684821278
Chenango,NY,3,14,17381.53,567,0.005825242718446602,0.0046449900464499,0.004660924052026157,0.004918060514696284
Herkimer,NY,5,12,16412.71,439,0.009708737864077669,0.003981420039814201,0.004401131246669898,0.003807810521960615
Albany,NY,1,12,9750,574,0.001941747572815534,0.003981420039814201,0.0026144999610077497,0.0049787773111740164
Franklin,NY,2,6,8123.17,247.5,0.003883495145631068,0.0019907100199071004,0.0021782592459753153,0.0021467724468912353
Broome,NY,4,8,6556.14,286,0.007766990291262136,0.0026542800265428003,0.0017580541307037282,0.0024807148275187607
Orleans,NY,1,3,4461.0599999999995,139,0.001941747572815534,9.953550099535502e-4,0.0011962503790823827,0.0012056621014863906
Lewis,NY,1,4,3510.7799999999997,94.5,0.001941747572815534,0.0013271400132714001,9.414291459596705e-4,8.196767524493807e-4
Wyoming,NY,1,1,876.2,26,0.001941747572815534,3.3178500331785003e-4,2.3495639649589645e-4,2.2551952977443277e-4
